La première fois,البريمير فوا
honnêteté,هونستي
voyage,كتغادي
avec,مع
Ghadi,غادّي
Marrakech,لمراكش
Viva,فيفا
khwa,خويا
lah,الله
i3awonik,يعاونك
o,و
tari9,طريق
salma,سالمة
Lah,الله
m3ak,معاك
7awl,حاول
akhouya,خويا
Hhhh,ههه
drari,دراري
matqlqoch,ما تقلقوش
rah,راه
ghi,غير
talqinha,طلقينها
kain,كاين
likai3air,لي كايعير
om3asb,ومعصب
fhala,فحالا
habsino,حابسّينو
ikhorj,يخرج
hadchi,هادشي
likatsm3o,لي كاتسمعو
mamnoch,ممنوع
Nariiiii,ناريييي
wach,واش
kayn,كاين
bo3o,بوعو
hhhhhhh,هههههه
Hhh,ههه
h1,واحد
wa7ed,واحد
benj,بنج
Li,لي
mafhmch,ما فهمش
z3ma,زعما
hlef,حلف
thnet,تهنت
kaysom,كايسوم
3j,على شي
het,حيت
blah,بالله
machi,ماشي
whda,وحدة
tmnah,ثمنها
hhhhh,ههههه
Khoya,خويا
l3ziz,العزيز
dima,ديما
Wax,واش
ntoma,نتوما
khot,خوت
ola,ولا
Ch7al,شحال
had,هاد
La,لا
li,لي
kaygolk,كايكولك
we,و
tenere,تينيري
t9al,ثقال
chof,شوف
bnadm,بنادم
ka,كاتشوف
tchof,معاهم
m3ahom,الرعب
ro3b,الرعب
hhh,هعه
Ou,أو
cfmoto,سيفموتو
mt,و خمسين
dyal,ديال
voge,فوج
Si,سي
normal,نورمال
mli,ملي
kat3ammar,كاتعمر
motor,الموتور
katgrati,كاتكراتي
vitesse,الفيتيس
kaydir,كيدير
dak,داك
sout,الصوت
Had,هاد
sot,الصوت
kay3ach9oh,كايعشقوه
ghir,غير
hrayfia,حرايفيا
Ana,أنا
ra,راه
eandi,عندي
gha,غير
cimatti,صيماتي
mt05,مت خمسة
makin,ما كاين
tfargi3,تفركيع
Tagiw,طاكيو
madam,مدام
elbakkali,البقالي
tchof,تشوف
hadi,هادي
hia,هيا
mha,مها
Kon,كون
mChiTo,مشيتو
so9,سوق
bansoda,بانصودة
9alt,قالت
lih,ليه
3ndak,عندك
tchod,تشد
diya,ديال
lor,اللور
Slm,سلام
khouya,خويا
walid,وليد
allahe,الله
ikbre,يكبر
bik,بيك
bekhit,بغيت
nehdre,نهضر
me3k,معاك
Fobya,فوبيا
bne,بن
nseer,نصير
dart,دارت
khdemtha,خدمتها
nadi,ناضي
akhoya,أخويا
rir,غير
lblya,البْلية
b3d,بعد
mnha,منها
ishl,يسهل
alik,عليك
Hna,حنا
mn,من
lhih,لهيه
kyjini,كيجيني
bhl,بحال
ila,إلا
m3xnax,معشناش
g3,كاع
Hiya,هيا
ana,أنا
kathwa,كتحوا
3lax,علاش
a5oya,أ خويا
mili,ملي
katkon,كاتكون
m3a,مع
s7abk,صحابك
katd7ak,كاتضحك
ou,أو
5ok,خوك
m3asb,معصب
Jaybin,جايين
mklkh,مكلخ
b7al,بحال
lmoutchou,الموتشو
okaysnaw,كايتسناو
l7l9a,الحلقة
tnjh,تنجح
Rmook,رموك
3aref,عارف
tri9o,طريقو
om3alem,ومعلم
professionel,بروفيسيونيل
mochkil,مشكل
f,ف
les,لي
voiture,فواتير
des,ديال
particuliers,البارتيكوليي
Wch,واش
katfra9,كاتفرق
bin,بين
niveau,نيفو
temperature,تيمبيراتور
zite,زيت
a,أ
ma,ما
aytle3ch,كيطلعش
l,ل
aspirateur,أسبراتور
Makanmchich,ما كانمشييش
lmrjan,للمرجان
y3ni,يعني
nhar,نهار
nchofk,نشوفك
an9m3k,أنقمك
ah,أه
wlk,ولكن
bch,باش
lkaki,الكاكي
takhdo,تاخدو
9dh,دراهم
10dh,وعشرة
tbi3o,وتبيعو
c,سي
pas,با
logique,لوجيك
Amin,أمين
lalaman,العالم
3lach,علاش
kayd7k,كيدحك
bzez,بزز
hadak,هاداك
gal,قال
chu,شي
haja,حاجة
kad7k,كضحك
wla,ولا
mrid,مريض
hwa,هوا
li,اللي
dar,دار
chi,شي
sbla,سبْلة
Bach,باش
hya,هيا
haka,هكا
Ahsen,أحسن
meroki,مروكي
fl,ف
l3alam,العالم
tahya,تحية
Ah,أه
kan3rf,كانعرف
oujda,وجدة
9an3ihom,قنعيهم
akhti,أختي
ma3endiiich,ما عنديش
jehd,جهد
khliw,خليو
koora,الكورة
lwste,فالوسط
ayrj3ou,ويرجعو
bjoj,بجوج
yn3sou,ينعسو
loure,اللور
Imta,امتا
lmatch,الماتش
be3da,بعدا
nika7,نكاح
lbassari,البصري
M3rfatchi,معرفاتشي
regragi,ريغراغي
fra3,فراع
luis,لويس
enrique,إنريك
5as,خاص
daba,دابا
nl9aw,نلقاو
hl,حل
ldifa3,للدفاع
Hit,حيت
mchi,ماشي
basis,باصيص
yamik,ياميك
farah,فرح
s3ib,صعيب
chrfo,شرفو
wradi,ورادي
yzido,يزيدو
chhour,شهور
kora,كورة
ghdi,غدي
tb9a,تبقى
centre,السنطر
mghdich,ماغديش
tl3eb,تلعب
3rafti,عرفتي
radi,غادي
tabda,تبدا
tasma3,تسمع
r9am,رقم
khayaliya,خيالي
hp,إتش بي
rada,غادي
twali,تولي
bhal,بحال
passion,باسيون
Klma,كلمة
mayfhmha,مايفهمها
ghyr,غير
3aychha,عايشها
kAlma,كلمة
mayfhmha,يفهمها
ultras,أولتراس
per,بير
la,لا
vita,فيتا
dakchi,داكشي
l3aba,اللعابة
d,د
barca,بارصا
makaytsaboch,ماكايتصابوش
ligament,ليغامون
Awdi,أودي
inajik,ينجيك
man,من
wahad,واحد
no3,النوع
taikon,تيكون
kabar,كبر
la3yalate,العيالات
walh,والله
ihayad,يحيد
Lik,ليك
masmom,مسموم
okanin,وكاينين
wld,ولد
lablad,لبلاد
taidrab,تايضرب
gir,غير
FAL,فالمرايا
mraya,المرايا
tai3tik,تايعطيك
tri9,طريق
3ajbtni,عجبتني
hulix,هوليكس
RE,ري
DA,دا
hna,هنا
3awtani,عاوتاني
ghadi,غادي
yjiw,يجيو
3andk,عندك
nta,نتا
mdouble,مدوبل
liman,اليمين
kda,وكدا
bnadam,بنادم
gha,غا
sama3,سامع
sfi,صفي
Doz,دوز
l3ndna,لعندنا
ba9in,باقيين
wa7lin,واحلين
Hhhhhhhh,هههههه
machatich,ماجاتيش
toit,طوا
panoramique,بانوراميك
tilas9ouh,تيلصقوه
Onta,أنت
so9k,سوقك
Lhayaaat,الحياة
ghyer,غير
3adiila,عادلة
Bnadm,بنادم
mchal9mo,مشلقمو
lhsad,الحساد
isahl,يسهل
kol,كل
wahd,واحد
Wayli,ويلي
ti,تيت
tmazakche,تتمازكش
lagnawi,لغنوي
kant,كنت
kantsnah,كنتسناه
y9ol,يقول
lferda,الفردة
sa3a,ساعة
khaf,خاف
ydikala,يديكالا
Mike,مايك
dean,دين
gadd,گد
lbeat,البيت
mashi,ماشي
Pharrell,فاريل
3adie,عادية
okandirha,كاننديرها
Ka,كايريسكيو
yriskiw,كايريسكيو
z800,ز ثمن
jrit,جريت
b7ala,بحالا
homa,هما
jiboha,يجيبوها
rashom,راشهم
Hadak,هاداك
dada,دادا
Awdi,أوودي
lk,لك
2M,إم
l,ف
aoula,الأولى
hhhh,ههه
Borojola,بوروجولا
hada,هادا
classement,كلاسمون
films,أفلام
d'actions,دأكشن
braquage,براكاج
Rak,راك
zgalti,زغلتي
L'idee,ليدي
hia,هيو
anaho,أنو
l'evaluation,ليفالياسيون
du film,دالفيلم
en se basant,أون سو بازان
sur le,سير لو
No,نو
inside man,إنسايد مان
man on a ledge,مان أون أ ليدج
the town,ذا تاون
the bank job,ذا بانك جوب
khuya,خويا
ra2yok,رأيك
yo7taram,يُحترم
khas,خاص
bzf,بزاف
les modif,لي موديف
akhuya,خويا
l7ulm,الحلم
dial,ديال
hergawa,هرغاوا
Mais,ميس
meskin,مسكين
Ghadi,غادي
tkoun,تكون
ahesan,أحسن
lahda,لحظة
hyato,حياتو
Ga3,كاع
lighydir,ليغيدير
m3ah,معاه
mcha,مشا
dewzo,دوزو
wja,وجا
Said,سعيد
Lasmar,لاسمار
hyad,يحيد
fik,فيك
lkhdaym,الخدايم
Seraha,صراحة
fhad,فهاد
lwa9t,الوقت
bnadem,بنادم
idkhal,يدخل
raso,راسو
7san,حسن
kahirafi,حرفي
flamikanic,ف لاميكانيك
essence,إيسونس
ahsan,أحسن
Ayman,أيمن
Jbari,جباري
fkkr,فكر
mzyaaan,مزيان
9iissa,قصة
tji,تجي
mea,مع
lkhir,الخير
likadir,لي كادير
bravo,برافو
elik,عليك
mais,ميس
makant,ما كانت
hta,حتا
qiisa,قصة
makanoch,ماكانوش
l,لي
missions,ميسيون
ra,را
bhala,بحالا
makadir,ماكادير
walo,والو
alah,والله
iwwf9ek,يووفقك
brother,خويا
rak,راك
250dh,ميتين و خمسين درهم
wa7d,واحد
villa,فيلا
mkriya,مكرية
nhar,النهار
b,ب
1000dh,ألف درهم
M3a,مع
galtha,گالتها
mchiti,مشيتي
kriti,كريتي
Villa,فيلا
lwahd,لواحد
3ziz,عزيز
3li,علي
wkh,وخا
mkn3rfkchi,مكنعرفكشي
Katl9ah,كاتلقاه
umi,أمي
maqarich,ماقاريش
edayro,أيديرو
tema,تما
Radi,غادي
n9alab,نقلب
3la,على
war9a,ورقة
Saraha,صراحة
wa3ere,واعرة
dirohe,ديروه
blile,بالليل
Fg3,فكاع
videos,الفيديوهات
tadwi,تدوي
abch,باش
dwi,دوي
Chef,الشيف
ali,علي
tbarklah,تبارك الله
machallah,ماشاء الله
3lik,عليك
ki,كيعجبني
3jebni,كيفاش
ka,كاتبارطاجي
tpartager,المعلومة
lma3louma,مع الناس
Chnu,شنو
smit,سميت
sebardila,سبارديلة
labs,لابس
chaos,خاوس
Ouali,الوالي
hak,هاك
Mahmoud,محمود
3alam,علام
Wa,و
lm3lm,المعلم
Oussama,أسامة
Abbou,عبو
Mohlika,موهليكا
officiel,أوفيسييل
rajal,راجل
akhali,أخالي
khasak,خاصك
trayah,ترتاح
meah,معاه
tbadla,تبدل
rayyaa,رايك
dyalk,نتا
Aslan,أصلان
rtitab,ارتداد
alkaekae,الكعكاع
bhalak,بحالك
3arf,عارف
bamat,بلا ما
ngolk,نگولك
hchamt,حشمت
nsabak,نسابقك
tn9az,تنقز
ala,على
Bsa7tk,بصحتك
Sir,سير
galik,قاليك
Machaellah,ماشاء الله
lhayat,الحياة
tabi3ya,الطبيعية
otahyati,وتحياتي
okhti,أختي
lghzala,الغزالة
lmouhtarama,المحترمة
thouraya,ثريا
birojola,بالرجولة
makintiw,ماكنتوش
kadir,كاديرو
loton,اللوتون
ohada,وهادا
howa,هو
sawtk,صوتك
siiir,سير
lrap,الراب
makrahnax,ماكرهناش
lahti,لحتي
lina,لينا
xi,شي
track,تراك
xkon,شكون
mtaf9,متفق
m3aya,معايا
Tbrklah,تبارك الله
Mabghithach,مابغيتهاش
lik,ليك
koun,كون
b9iti,بقيتي
fzn9a,فالزنقة
sohil,سهيل
hram,حرام
M3rftch,معرفتش
mnin,منين
kyti7o,كيطيحو
afkar,الأفكار
Abdelaziz,عبد العزيز
El,المكودي
Makoudi,المكودي
tena,تينا
wlh,والله
hhhhhh,هههههه
blati,بلاتي
tkhlees,تخلص
mazal,مازال
layn3ltbonmkmo,الله ينعل بو مكُّم
Hhhh,ههههه
3alm,عالم
khona,خونا
Rida,رضا
Touil,طويل
maxi,ماشي
Khalid,خالد
Orao,أوراو
lakhor,لاخور
kihssab,كيحساب
kigol,كيقول
fiha,فيها
sdae,صداع
Tara,تارا
b9alk,بقالك
tnikoo,تنيكو
mkenas,مكناس
chadin,شادين
9hwa,قهوة
kantssnaw,كانتسنوا
constator,كونستاتور
nari,ناري
ach,آش
Amiri,أميري
hhhhhhhhhhhhh,هههههههههه
O9sim,أقسم
billah,بالله
wahed,واحد
kont,كنت
mor,مور
Sh,ش
labes,لابس
casque,كاسك
dyalo,ديالو
we9afna,وقفنا
fdaw,فضو
hmar,حمار
kanchof,كنشوف
fih,فيه
fhal,فحال
hayda,هايدا
hbet,هبط
ftah,فتح
topcase,طوب
motor,موتور
jbed,جبد
mno,منو
chapeux,شابو
gucci,غوتشي
olebso,ولبسو
orja3,ورجع
khxah,خشاه
baliza,باليزة
hhhhhhhhh,هههههه
khesara,خسارة
kan,كان
khso,خصو
itsewar,يتصور
hhhhhhhhhh,هههههه
Hada,هادا
hawa,هو
ljadid,الجديد
Katsd9,كتصدق
mra,مرة
tbarkllah,تبارك
dirlna,ديرلنا
yrhmlk,يرحم
lwalid,الواليد
z1000,ز ألف
z800,ز تمنمية
Lmraya,المرايا
l7ala9,الحلاق
vu,فو
Lwlidd,الوليد
bki,باكي
kyfwj,كيفوج
Rijal,رجال
Bissoumat,بيسومة
Youssef,يوسف
kolchi,كلشي
3lih,عليه
yhafdo,يحافضو
likom,ليكم
O9sim,أُقْسم
Sh,الشّْ
casque,الكاسك
we9afna,وَقَفنا
fdaw,فْالضو
hmar,الحْمار
kanchof,كنتْشوف
fhal,فْحال
hbet,هْبَط
ftah,فْتح
topcase,التوبكيس
motor,الموطور
jbed,جْبد
mno,منُّو
chapeux,الشّابو
olebso,و لْبْسُو
orja3,و رَجَّع
khxah,خْشَاه
f,فْ
baliza,الباليزة
khesara,خْسارة
khso,خَصُّو
itsewar,يْتْصَوَّر
hawa,هوا
Katsd9,كاتْصْدَق
tbarkllah,تبارك الله
dirlna,ديرْ
yrhmlk,يرحمْ
z1000,الزيد ألف
z800,الزيد تمنمية
Lmraya,لمْراية
Lwlidd,الوْليد
bki,بْكي
kyfwj,كَيْفوّج
kolchi,كُلشي
But,بُوت
Star,ستار
Haaland,هالاند
Walh,و الله
akheya,أخي
ktechafni,كْشافني
m3raftche,ما عْرَفْتْش
3lache,علاش
3inke,عينيك
daimne,دايماً
fiheme,فيهُمْ
lhe,لْهَم
yefawjha,يْفوّجها
Lach,لاش
za3ma,زعما
mhayd,مْحَيَّد
cabli,كابلي
kontour,الكونطور
troch,تْرش
fin,فين
tbri,تبغي
tbi3ha,تبيعها
tgoli,تقولي
Kant,كانت
wa9fa,واقفة
hawl,حاول
maroc,المغرب
macharyan,ما شاريان
mochkil,موشكيل
fina,فينا
hna,حنا
tanrocho,تنرشو
ba3diyatna,بعضياتنا
Hhhh,هههه
ishb,يْشْبَهْ
ga3,كاع
nass,الناس
kaykloo,كيكلو
tban,تبن
yak,ياك
wa5a,واخا
ta7d,تحيد
ta,حتى
lmkina,المكينة
ghaa,غا
rata7,ارتاح
awdi,آ
ajami,أجامي
Subhna,سبحان
hasit,حسيت
khalast,خلصت
a3lih,عليه
llah,الله
isahal,يْسهَلْ
a3lik,عليك
hchouma,حشومة
Sahbi,صاحبي
mwalaf,موالف
ta3ti,تعطي
Dari,الدَّارِي
li,ديال
péage,البيّاج
9ar3a,قَرْعَة
choklata,شوكلاطة
hhh,ههه
5aiinin,خَايْنِين
hh,هه
Momkin,ممكن
na3rafe,نعرف
kin,كاين
fmarakch,فمراكش
ihafedak,يحفظك
Khona,خونا
kay,كاي
3arfch,يعرفش
w7ech,وحش
Mostafa,مصطفى
Él,إل
Lmorphine,لمورفين
ay9ona,أيقونة
lbkya,لبكية
dart,درت
moura,مورا
lbac,الباك
Hadik,هاديك
casa,كازا
anfa,أنفا
3rafta,عرفتها
dik,بديك
Hôtel,Hôtel
D,D
Barcelo,Barcelo
Hit,حيث
Kont,كنت
kanmchi,كانمشي
Tma,تما
Bzaaaf,بزاف
Yassine,ياسين
El,المحارش
m7arech,م7arech
Abdeladim,عبد العظيم
Taté,تاتي
dawi,داوي
mohamed,محمد
bach,باش
3raftih,عرفتيه
kisra9,كيسرق
WiFi,WiFi
Bin,بينو
bin,وبين
Rap,الراب
Ghir,غير
lkhair,الخير
i7san,الإحسان
Mliii7,مليييح
3ndo,عندو
mouchkil,مشكل
compressor,كمبريسور
kaykhdlo,كايخدمو
khso,خاصو
yriglo,يريكلو
Teclab,تيكلاب
BA,BA
2A,جوج A
Kane,كان
la3ib,لاعب
ta,تا
himar,حمار
wahchi,وحشي
hhhh,هههه
maystahlch,مايستاهلش
il3ab,يلعب
coupe,كوب
Amine,أمين
MA,ما
tra,طرا
lia,ليا
lblan,لبلان
sezar,سيزار
ichahrar,الإشهار
irahmo,يرحمو
Kifach,كيفاش
bloc,بلوك
tatgolha,تاتقولها
Hâķïm,حكيم
Bøúohoya,بوحيويا
galeeh,گال
ja3raan,جعران
hoya,هو
7na,حنا
nchodo,نشدو
wsafi,وصافي
asi,آ
hsan,حسن
nmchw,نمشيو
nt3lim,نتعلم
sia9a,سياقة
ntresian,لترسيان
chmali,شمالي
Awdi,آ ودي
vis,الفيس
ay,أي
ta7iyati,تحياتي
khoya,خويا
med,مد
Ghi,غي
M2,إم
jsen,حسن
khriti,خريت
fdak,فداك
studio,ستوديو
wmatghnich,وماتغنيش
lhmoda,اللحمودة
tzzzzzz,تزززز
izlan,أيزلان
okhna,وخنا
1000Dh,ألف درهم
thyd,تحيد
lmaja3a,المجاعة
soudan,السودان
aw9,أو ق
Ara,آرا
3liha,عليها
ans,سنين
Mahamawda,المحمودة
howa,هوا
next,نيكست
fda7aya,فالضحايا
Kyn,كاين
fr9,فرق
krwazma,كروازما
mt9ada,متقادة
obin,وبين
droba,دروبة
lknti,لا كنتي
ghdi,غادي
fTri9,فطريق
kbira,كبيرة
whd,واحد
khrj,خرج
drb,درب
mkhskx,ماخصكش
t3Tih,تعطيه
asb9ia,الأسبقية
dir,دير
video,فيديو
rla,على
montage,مونتاج
fares,لفار
secours,سكور
Signal,سينيال
ihfdek,يحفظك
Mn3,من
hsn,أحسن
Drari,دراري
nl9a,نلقى
album,ألبوم
dialo,ديالو
Wach,واش
spotify,سبوتيفاي
Matgolch,ماتقولش
aykherj,أيخرج
ybda,يبدا
ybki,يبكي
3awtani,عوتاني
kif,كيف
l3ada,العادة
Hhhhhh,هههههه
nadi,نادي
dert,درتي
demo,ديمو
oghnia,أغنية
deyal,ديال
laaras,الأعراس
3chyri,عشيري
ghanpartajih,غانبارتاجيه
kokchi,كلشي
aala,على
moulat,مولات
sefar,الصفر
Hafifak,حفيظك
allah,الله
bonne,بون
courage,كوراج
continuation,كونتينواسيون
almarra,المرة
jaya,الجاية
alhadra,الحضرة
taourirt,تاوريرت
et,و
berkane,بركان
zide,زيد
za3tare,زعتر
touma,تومة
otfakarni,وتفكرني
bhalaha,بحالها
kansayboha,كنصايبوها
fcasa,فكازا
wahade,واحد
mnhome,منهم
otahiyati,وتحياتي
Wadie,وادي
Gr,جي آر
9bel,قبل
maybanlk,ما يبان لك
lvid,الفيديو
wlhta,والله حتى
3mrni,عمرني
drtrlk,درت لك
DFK,دي إف كاي
hiya,هيّا
K,ك
tkhadat,تخذات
hit,حيت
jaya,جاية
kaliémie,كاليمية
potassium,البوتاسيوم
hwa,هو
lkythkaam,كيتحكّم
bda,بدا
kid7k,كيدحك
hhh,ه
Chi,شي
adbr,أدبر
lmontif,لموتيف
7di,حدي
rask,راسك
bgha,بغا
marhba,مرحبا
bih,بيه
lhay,في الحي
mohamadi,المحمدي
Ma3rfox,ماعرفوش
tafo9ax,تا فوقاش
magtlox,ما قالولوش
maw9fin,موقفين
7d,حد
Sega3e,سگّاع
Nta,نتا
tyara,طيارة
asi,أسي
esama,أسامة
Hrb,هرب
lma,الما
lytrch,ليترش
walah,والله
kanchfom,كانشوفهم
kayd5ol,كيدخلوا
aliya,علية
law9at,الأوقات
Yalah,يالله
wliti,ولي
kat gol,كاتقول
rassi,راسي
fotif,فوتيف
hta,حتى
9ayadto,قيدتو
constater,كونستاتور
hargawa,هرگاوا
katro,كتروا
sads,سادس
Yak,ياك
feh,فيه
1.80,واحد فاصلة ثْمانين
fe,ف
stream,ستريم
Hadi,هادي
7ta,حتى
lmra,لمرا
7sn,حسن
rrajl,راجل
Sbhan,سبحان
lh,الله
shabk,صحابك
baslin,باسلين
t9al,تقال
ela,على
l9lb,القلب
Mliha,مليحة
Ila,إلا
n9a,نق
khososan,خصوصا
rabbit,رابيت
pacific,باسيفيك
HTA,حتا
match,ماتش
wakha,واخا
9lila,قليلة
chwia,شوية
Golf,غولف
origin,أوريجين
n9a,نقَا
design,ديزاين
harb,هرب
kanet,كانت
3andi,عندي
rakeb,راكب
fhdid,فحديد
haute,هوت
gamme,غام
Ntkrwaza,نتكروازا
maymkench,ما يمكنش
matirch,ما تيرش
intibah,انتباه
Matkhaf,ما تخاف
jrad,جْراد
chhal,شحال
basllin,باسلين
bark,بارك
katlss9,كاتلصّق
fena,فينا
chii,شي
kaliimat,كلمات
dik,ديك
samsung,سامسونغ
dayra,دايرة
meak,معاك
lmzyaan,لمزيان
Ban,بان
3endna,عندنا
ndiro,نديرو
tahiya,تحية
okhawiya,وخاوية
lhedra,الهضرة
likatgol,لي كاتقول
merhba,مرحبا
oweld,وولْد
ceylander,سييلندر
kola,كولّا
ciylander,سييلندر
3.6L,تلاتة فاصل ستة لتر
max,ماكس
speed,سبيد
234km/h,ميتين وأربعة وتلاتين كيلومتر في الساعة
mochkil,المشكل
seystem,سيستيم
d'injection,دانجيكسيون
classic,كلاسيك
kon,كون
kant,كانت
novell,نوفيل
jeneratoin,جينيراتيون
d'anjection,دانجيكسيون
chdat,شدات
la3b,اللعب
wyak,وياك
fkola,فكول
knglso,كنجلسو
7mar,حمار
mol,مول
tomobil,الطوموبيل
lokn,لو
7bass,حبس
ychof,يشوف
klab,كلاب
wachta,واشتا
sralo,سرى
onsniya,إنسانية
m3ndouch,ما عندوش
mazot,مازوت
haz,هز
lisans,ليسانس
khfti,خفتي
ytfrg3,يتفرڭع
tch3l,تشعل
3fya,عافية
hrab,هرب
jonon,جنون
l3adama,العظمة
ol,وال
wswas,الوسواس
bash,باش
galt,قالت
liik,ليك
darori,ضروري
nhdar,نهضر
mero,ميرو
chda9,شداق
rzal,رزال
Knt,كنت
m3rfto,ما عرفتو
Mnin,منين
tl3,طلع
Moaad,معاد
Zahr,زهر
ha,ها
mo,مو
Waliti,ولي
kat3atal,كاتعطّل
khay,خاي
dalali,دلالي
Salm,اللي
machakil,مشاكل
fdar,فالدار
l3aila,مع العائلة
zawj,مع الزوج
lkhas,للخاص
atrhmliya,ترحّم
lwalidin,الوالدين
Librat,اللي
nkhdam,نخدم
liha,ليها
da9a,دقة
batla,باطلة
iji,يجي
kayjri,كيجري
9assmn,قسماً
bila,بالله
lkhdma,الخدمة
wa3ra,واعرة
fhadchi,فهادشي
tjini,تجيني
mchmoot,مشموت
Wlah,والله
hbibi,حبيبي
kent,كنت
hass,حاس
9aysek,قايسك
Bsshtkom,بصحتكم
3aychin,عايشين
l7ob,الحب
Dk,ديك
kricha,كريشة
3adak,عندك
hadra,هضرة
3anmot,عانموت
t9awd,تقود
mklakhe,مكلاخ
indriv,إندريف
Rafi999,رفيق تسعمية وتسعة وتسعين
dima,ديمة
wac,واش
hamid,حميد
ctm,سي تي إم
station,صطاسيون
kech,كش
Tkharbi9,تخاربيق
dam,الدم
kaytakhdam,كيتخدم
taksa,تكسى
nsa,نسا
hdi,هدي
trimtak,تريمتاك
khatra,الخطرة
dayer,داير
green,غرين
screen,سكرين
l7mar,الحمار
FIH,فيه
39lou,عقلُو
O,و
9bal,قبل
ans,أنس
dilyas,ديالياس
kho,خو
ilyass,الياس
Ilyas,الياس
elmaliki,المالكي
yaaaaaa,ياااااا
rajel,راجل
talach,تلاّش
7assnti,حسّنتي
le7ya,لحية
yahad,يهاد
Ya,يا
rrabi,ربي
tassma7,تسامح
wlik,وليك
Ma3raft,ما عرفت
makadkhol,ما كدخل
lkhatar,الخاطر
Husam,حسام
3chiri,عشيري
slm,سلم
bzaf,بزاف
Khouya,خويا
hamza,حمزة
al3atifa,العاطيفة
khafifi,خفيفي
nyt,نيتك
kanbghi,كانبغي
raja,رجاء
walakine,ولكن
kha,خو
Hamza,حمزة
hi,هي
khriti,خريتي
smiyate,سميات
kidairine,كيديرينة
maysstahlch,مايستاهلش
tenue,تنيو
Banoon,بانون
7ssen,حسن
menno,منو
mal3bch,مالعبش
doublure,دوبلور
assasi,أساسي
lawal,الأول
ta3tik,تعتيك
ta3tik,ديالك
Mehdi,مهدي
Khalouf,خالوف
welah,والله
nsa7bo,نساعبو
tizek,تيزك
tahowa,تهوا
Kan,كان
Mikhali,مخالي
bhalna,بحالنا
loudaya,لوداية
Wa,وا
ls9aaaa,السقاع
makayn,ماكاين
sifat,صفات
pause,pause
gadak,قدك
zbi,زبي
dL'morphine,ديال لمورفين
m'inspiri,م'انسبيري
dexter,ديكستر
rule,رول
number,واحد
ftmerphine,فتمورفين
dal3lo,دلعلو
Abdouelali,عبد العالي
Harkouzi,حركو زي
der,در
nefs,نفس
sa7bi,لصاحبي
Ismail,إسماعيل
Lmesfioui,لمسفيوي
hadchi,هاضي
ngol,نقول
Zindin,زندين
Se,سي
MOANING,موانينڭ
LI,لي
KIDIRO,كيديو
97AB,سبعة وتسعين
AFRIBABA,افريبابا
AZBI,ازبي
Ach,آش
dayr,داير
fi,في
wadno,ودنو
salib,ساليب
osamho,واسمحو
liya,ليا
hata,حتا
chatoh,شتوها
3la,علا
ghabra,ڭبرا
Hmmmm,همممم
As3mooooo,أسمو
Diro,ديّرو
les,لِس
signalé,سيڭالاي
yb9a,يبقا
endo,إندو
mod,مود
Wahd,واحد
3andek,عندك
babak,باباك
3tak,عتاك
l7ayat,الحياة
ykhlaf,يخلف
3ala,علا
papa,بابا
Mdina,مدينة
kula,كل
ydber,يدبر
lkro,كرشو
ghi,غي
sir,سير
chibani,شيخاني
l7atek,لحاتك
Tafaha,تفاه
adrari,أدراري
khsk,خصك
t3ti,تعطي
lbnadm,بنادم
istafd,استفد
stop,ستوب
Farou9,فاروق
dawz,دوز
tark,ترك
Rah,راه
shayabha,شيابها
n3al,نعال
walidin,والدين
i3tik,يعطيك
fzekk,في الزك
darti,درتي
gaaa3,كاع
sda3,سدّع
ras,راس
fl,في
mawa9i3,المواقع
haw,هاو
yalatif,يا لطيف
msad3o,مسدّع
Khdam,خدام
w3mal,وعمال
flos,فلوس
alflos,الفلوس
ali,اللي
blhal9at,بالحقّات
nmxo,نمشو
n3amloham,نعاملوها
