La première fois,البريمير فوا
fjma3,في جماعة
alfna,ألفنا
fdik,في ديك
mrakax,مراكش
tmot,تموت
10k,عشرة
dsargala,دسرڭالة
9lss,تسّع
syd,لسيد
hyd,هيد
lmizan,الميزان
lbiro,البيرو
wa,وا
in3al,ينعل
tabon,طابون
mok,موك
ghi,ڭي
t9wad,تقود
yn3al,ينعل
tbon,طابون
Ktbi3,كتبيع
lhot,لحوت
fhl,في
nas,الناس
oktgol,وكتڭول
knt3awn,كنتعاون
lmaskin,المساكين
S7ab,سحاب
kerro,كرو
fel,في
9obba,القبة
dyl,ديال
berlamane,البرلمان
Bsaliti,بساليتي
bditi,بديتي
tratab,تراتاب
dkhol,دخول
karak,كراك
khir,خير
Kichti,كيشييتي
tafartih,تفارتيه
wa9f,واقف
f,في
janb,جنب
tl9a,تلقى
3ando,عندو
master,ماستر
tab3a,طباع
kifach,كيفاش
chkawi,شكاوي
tarma,ترما
Nadi,ناضي
oktr,أكتر
vidyohat,فيديوهات
trinag,ترينڭ
lmostawa,المستوى
motawasit,متوسط
chwiya,شوية
bla,بلا
Montag,مونتاج
vvidyohat,فيديوهات
nadyin,ناضي
brojol,بروجول
Les,ليس
accessoires,اسيسوار
la,لاموتوس
très,تري
importantes,مهمة
andi,عندي
cool,كول
Hheihhrih3uggeiehi3hdhv3fj4ibcdjfhivfu,ههيهريهڭيهيههدحففجأربعةيبسدجفحيفوفو
dhchf,دشف
Maybe,ممكن
Mouad,موعد
z3em,زعيم
Ax,آش
lkhra,لخرا
mal,مال
fmk,فمك
tatfrani,تتفراني
bieh,بيه
chari,شاري
kask,كاسك
dah,داه
fo9,فوق
wlha,والله
7a9dni,حڭدني
1200dh,ألف ومئتين درهم
mechat,مشات
kanksb,كانكسب
3adi,عادي
ta3,تع
120dh,مية وعشرين درهم
wlah,والله
la n3as,لا نعاس
fkhatro,فخاطرو
tahwa,تهوا
9ad,قدام
afomak,فومك
Ma9siyin,معقسيين
ch7al,شحال
Kitelecharger,كيتلشارجيه
Utorrent,يوتورنت
makinf3,ما كنفى
Ma,ما
ki,كيسوبير
suporter,كيسوبير
7ta,حتا
série,سيري
ga3,ڭاع
Oki3ti,اوكيعتي
ra2yo,رايوه
game of thrones,ڭيم اوف ترونس
khassro,خسرو
2 seasons,سيزونين
lkhrin,لخريين
chkon,شكون
3rf,عرف
bli,بلي
glso,ڭلسو
mora,مورى
lvidyo,لفيديو
ihfdkom,يحفدكوم
l3in,العين
achbab,اشباب
7mida,حميدة
setar,سطار
kay3ti,كيعطي
had,لهاد
nou3,النوع
selya,سليا
Khasha,خاشة
yhakha,يحكا
mzn,مزن
tabrad,تبرّد
Khoyti,خوتي
3ezaz,عزيز
Dando,داندو
pro,برو
radjla,راجلة
doka,دوكا
drto,درتو
porno,بورنو
hsnlikom,حسن ليكوم
men,من
chouha,شوهة
3gouba,عقوبة
3okacha,عكاشة
Dkhl,دخل
3ndi,عندي
l9ana,لقانا
dir,در
motaba3a,متابعة
layhfdk,ليه حفظك
Wax,واخ
yialh,يالاه
waslok,واسلوك
diask,ديسك
Hta,حتا
kano,كانو
gor,جور
sar9o,سرقو
téléphone,التليفون
khashome,خاشوم
lhabse,للحبس
tfouuuu,تفوّووو
forma,فورما
lakhra,الخرا
Mo3awa9a,معاوضة
meskina,مسكينة
Bdito,بدّيتو
sa3aya,سعاية
l7acharat,للحشرات
3alae,علاء
ma3nda,ماعندوش
taba3,تباوع
kytkom,كيتكوم
t9ylo,تڭيلو
tnfkhoo,تنفخو
Fra3ti,فراعتي
krna,كرنا
akhtii,أختي
nti,نتي
rajlaak,راجليك
ghir,ڭير
nhawik,نهاويك
do9mk,دوڭمك
Daba,دابا
jwaj,جوج
rojola,الروالة
lmghreb,المغرب
El Mehdi,المهدي
Gastoune,كاستون
jrya,جرى
kay dir,كيدير
rudiguer,روديڭير
fach,فاك
katkoun,تكون
la3b,لاعب
ela,إلا
lhbot,لهبوت
3andak,عندك
l9alwa,القلوا
tmout,تموت
Ras,راسي
tjbed3lih,تجبدلي
bent,بنت
9ahba,قهبة
lonika,لونيكا
rajlk,راجلك
NTI,نتي
ka dhri,كاضري
hssen,حسن
Meno,منو
tanian,تانيان
Ra,را
chwahtona,شوهتنا
F,ف
l'Europe,أوروبا
ma kainach,ما كاينش
ya,يا
wlad,ولاد
lkhab,الخاب
daroh,دارو
selmin,سلميين
Howa,هوا
beyedo,بيديو
khesoo,خصو
yjerii,يجري
morah,وراه
Mskina,مسكينة
m9daha,مقداها
farha,فرحة
Iwa,إوا
chno,شنو
likom,ليكوم
ntmna,نتمنى
rabi,ربي
yhrmna,يحرمنّا
rajil,راجل
haxa,هاكس
Ikon,يكون
mafehxe,مافهكس
nesma,نسمة
de,د
rojolaa,روجولا
tfoo,تفو
Fin,فين
5liti,خليتي
bzazlk,بزازلك
Nari,ناري
ma3andhach,معنديش
bzazal,بزازال
Winston,وينستون
safi,صافي
Ha,ها
l9hiba,لهيبة
oha,وها
swimil,سيميل
Hadchi,هادي
ki,كيديرو
diroh,دي
gha,ڭا
9lal,ڭلال
trabi,ترابي
Kayjri,كيجري
khba,خبة
les,ليس
règles,ريڭل
LA,لا
SDAR,صدار
KARR,كرر
F7AL,فحال
TAYRA,طيرا
BGARR,بڭار
Awil,أول
chwha,شوهة
Bghina,بغينا
c50,خمسين
malginaha,مالڭيناه
3ad,عاد
super,سوبر
Car,كار
Dini,ديني
Sma3t,سمعت
disQ,ديسك
oriskit,وريسكيط
Machi,ماشي
khayb,خايب
dyotiiii,ديوتي
Chkoun,شكون
7assen,أحسن
Chkon,شكون
rayatzawaz,راي تزواج
bwas3a,ببساطة
tfo,تفو
alkhanza,الخانزة
Ba3alla,باغى
wakha,والا
jalda,جلدا
kahla,كحلا
l9alb,القلب
byad,بيض
Ahesan,أحسن
3acheran,عاشرن
lay,لاي
khalikom,خليكوم
ba3ediytkom,بعديتكوم
Sari,ساري
lh,له
sahli,سهلي
dh,ديال
la3b,لعب
gta,جي تي أ
3xirk,أخيرك
wax,واش
5tk,ختك
haka,هكاك
hnina,حنينة
mistara,مستار
m3rt,معرف
htitha,حطها
Ba3alla,باغي
7agrinak,حكرناك
aeshiriii,أشييري
bayan,باين
Liya,ليا
Kayn,كاين
brojola,بروجولا
apar,أبار
fhadi,فهادي
ba3la,باغى
Ta,تا
ser,سير
thhwa,تهوا
tl3ti,تلصتي
lya,ليا
facebook,فيسبوك
ylh,يله
thnina,ثنينة
l7moda,اللحمودة
dylk,ديالك
malk,مالك
asahbi,أصحابي
halala,الحالة
rebi,ربي
yr7amhaaa,يرحمها
Fine,فين
kanya,كاينا
bali,بالي
Siri,سيري
tkhdmo,تخدمو
raskom,راسكوم
l7lal,للحلال
7diw,حديو
lkhwa,الإخوة
lkhawi,الإخوة
nas,ناس
katmout,كاتموت
bjo3,بالجوع
toma,توما
diro,ديرو
lkdoub,لقدوب
dyalkom,ديالكم
LAH,الله
Dake,داك
safa,صفاء
rire,ريرة
se3ay,سعاي
3afak,عافاك
tala3ni,طالعني
ntoma,نتومة
rojola,رجولة
mahdi,مهدي
bzff,بزاف
golih,قوليه
khalti,خالتي
3ira,عيرا
gito,جيتو
lkahwa,للكافية
keyna,كاينا
hda,هاد
darna,دارنا
frassi,فراسي
thiyati,ثياتي
ket,كتعجبني
Slm,سلم
dimx,ديمكس
Salam,سلام
koya,كوية
kasni,كسني
kromi,كرومي
rizifwar,ريزيفوار
toyota,تويوتا
wili,ويلي
7chamtoh,حشمتوه
mskin,مسكين
omakhlito,أو ماخليتوه
hch,حش
ikaml,إكمال
n3aso,نعسو
faytli,فاتلي
wa93tli,وقعتلي
lwalid,لواليد
dakhl,داخل
3lya,علية
zlajlya,زلاجة
lbit,لبيت
na3s,نعس
nfi9,نفيق
fay9,فايق
rasi,راسي
kathdar,كتهدر
ssah,الصاح
alach,علاش
Tadkhol,تدخول
sari3,سريع
isihl,يسهل
wana,وانا
mnity,منيتي
igol,يقول
wali,والي
labsa,لابسا
srwal,سروال
thydo,تيدو
okhoya,أخويا
Gol,قول
ldak,لداك
za9of,الزعوف
sahbk,صاحبك
itkays,يتكايس
tomobil,طوموبيل
tnin,اثنين
tkon,تكون
Ba7rta,بحرتا
Hmd lah kychg3,الحمد لله كيشجع
Sbah,صباح
dyemak,ديماك
raha,راهي
F7al,فعال
sakna,سكنة
fel3era9,فعراڨ
l,ال
khnona,الخنونة
tea7achnak,تعاچناك
Tazarhine,تازري
le9ta,اللقطة
bhala,بحالها
fayt,فات
chayfha,شافها
ma39alt,ماعقل
saraha,سارها
m9wad,مقود
mochkil,المشاكل
l7al,الحل
nafs,نفس
bhar,البحر
pirmoda,بيرمودا
kaybi3,كايبيع
hout,الحوت
Rome,روما
na9sa,ناقصة
Mondeyal,مونديال
hewa,هو
naqesna,ناقصنا
Tri9,طريق
salama,السلامة
akhoya,خويا
mina,من
l2ahsan,الأحسن
sardine,السردين
thiydi,تعطي
lihe,ليه
sansul,سانسول
hawli,حوالي
t9adihe,تقاديه
fdar,في دار
alah,الله
ishal,يسهل
Concept,كونسيبت
kayench,كاينش
khoh,خو
Chno,شنو
smiyet,سمية
track,الأغنية
tel9ohe,لقيتي
balk,بالك
Db,دبا
Wahed,واحد
so2al,سؤال
osmahliya,و سمح ليا
t9bal,تقبل
bkhtek,بختك
fhal,بحال
hakak,هكاك
had,واحد
ob9a,ابقا
i9isha,يعيش
o3iiiid,وعيد
somohat,سومحات
Askm,أسأل
Oud,السيد
Ahsan,أحسن
okla,أكلة
Diha,ديها
rasak,راسك
haza,هاذي
lbida3a,البداعة
idar,إدار
b9a,بقا
trakab,تركب
tay,تاى
rakbo,راكبو
prof,بروف
Dok,دوك
la9atag,لاقطة
six,ستة
jhhhhh,جيهههه
Ilyàs,إلياس
Kidây,كيداي
Ba3ella,باغى
bejbejha,بيجبهة
manouche,مانوش؟
A,أ
khoy,خويا
ashkdir,آش خْديْر
3ndk,عْندك
kniya,كنية
dyli,ديالي
warina,ورّانا
tramto,ترامتو
was3a,واسعة
Restaurant,Restaurant
hout,حوت
roz,رز
djaj,دجاج
bouzroug,بوزروغ
200dh,مية وعشرين درهم
labas,لباس
bmw,bmw
kay7chem,كيحشم
may3tikch,مايعطيكش
sanya,سانية
Wnta,ونتا
aslan,أصلًا
tatsog,تصوغ
sogan,صوغان
3achwaii,عاشواي
wmachi,وماشي
9anoni,قنوني
3rafak,عرفك
a5ti,أختي
mhtaja,محتاجة
Sadi9i,صديقي
3aliya,عليها
rajlk,رجلك
nahwihe,ناحية
page,الصفحة
mohdha,مهدا
mzl,مزال
kadahkni,كادهكني
y9lb,يقلب
ytih,يطيح
chwhd,شوهد
15/15,خمسة عشر
san,من
chb3ana,شبعانة
9sim,قسيم
jtni,جاتني
ghlya,غليا
xwya,خويا
darb,درب
hajbo,حاجبو
Z..,ز..
3ajbo,عجبه
Allah,الله
ihfdhom,يحفظهم
ou,و
iba3d,يبعد
3lihom,عليهم
Cher,شر
khl9,خلقة
A7la,أحلى
wa7la,وأحلى
taha,تاهى
I,إي
tahiyatii,تحياتي
ba,با
El,البواناني
Bouânani,البواناني
lbyad,لبيض
Hât,هات
lfa5r,الفقر
ojbd,وجبد
dylo,ديالو
ogliha,أوغليها
chaychi,شيشي
Tbark,تبارك
machaa,ماشاء
charf,شرف
nchof,نشوف
b7alk,بحالك
kikhalw,كخلوا
whd,وحدة
basma,بسمة
zwina,زوينة
okhrin,آخرين
alhmdoulilah,الحمد لله
bsaliti,بسلتي
bazaf,بزاف
Ga3,كل
snap,سناب
maxi,ماكسي
Rajl,راجل
Ma3merni,ماعمرني
tfrejt,تفرجت
the sopranos,the sopranos
nz3em,نزعم
3lih,عليه؟
Chwiiya,شوية
lwahed,واحد
Awadi,أوادي
la3jal,لا عجل
Nti,نتي
7chouma,حشومة
m3edya,معدية
lwliyed,الوليد
m'n,من
katsouweri,كاتصوري
9asser,قصور
bidoun,بدون
idn,إذن
7e9ou,حقوق الإنسان
i3ich,باش يعيش
toufoula,طفولة
3adiya,عادية
fach,وملي
ikber,يكبر
mayl9ach,مايلقاش
dialou,ديالو
internet,الإنترنت
Houa,هوا
da7iya,دعوة
dialk,ديالك
irza9naa,يرزقنا
bxi,بxi
tmax,تماخ
wta7iyati,و تحياتي
kadir,كيدير
vidéo,فيديو
kayl9a,كيلاقي
telefon,تلفون
tiya9tk,تياقتك
lokhrine,لخريين
tay9ok,تايكوك
Kifash,كيفاش
kolchi,وكلشي
sad,صاد
lhadjih,لهدجيج
3chirek,عشيرك
sicliss,سيكليس
khela,خلى
lfilter,الفلتر
darrori,ضروري
y,ي
tvérifa,تفرّيفا
chni,شني
9altilo,قالتي
Kolchi,كلشي
tarbia,تربية
wache,واش
fanadarek,فنادرك
maa,ما
téléphone,تليفون
kadahki,كادهكي
ala,علا
siri,سيري
guabli,غابلي
waldak,ولدك
obaadih,اباديو
hade,هادشي
chi,ليكيدير
tjharji,تجارجي
alihhhhhh,عليههههه
Golo,قولو
3nd,عند
lkbda,لكبدة
l3ibat,اللعبة
mo3wa9,موعوق
b3da,بعدا
makantrink,ما كترنك
nchd,نشد
lwi,لوي
3n9k,عنق
Wa9ila,واقيلا
trmto,ترمتو
micro-hybrid,micro-hybrid
al,الحمرة
7mar,إذن
tonobil,السيارة
98%,بنسبة تسعة وتسعين
essence,بالمئة بنزين
sewel,سائل
3ad,ثم
dir,صور
al,ال
kidar,كيدار
fiha,وفيها
motor,محرك
essence,بنزين
batterie,بطارية
kw,كيلوواط
MHEV,MHEV
peugeot,بيجو
tmchi,كاتمشي
fabor,بسرعة
tstationne,تستانسي
Akhuya,أخويا
micro hybride,micro hybride
rah,راهي
hadik,هاديك
électrique,الكهربائية
kikhdem,كتشغل
fach,ملي
kthsl,كتخلص
embouteillage,ازدحام
stationnement,وقوف السيارات
consommation,الاستهلاك
tal3a,عالي
1er,المرحلة الأولى
tzid,تزيد
Makin,ماكين
Walo,والو
v8,محرك ڤيت ثمانية
twin turbo,توين توربو
tnagham,تناغم
rasek,راسك
ama,أما
Molinex,مولينكس
yrebah,يربح
biha,بها
bsahtkom,بصحتكم
rahtkom,وراحتكم
Ki,كي
goul,تقول
Qader,كان
yktbha,يكتبها
msali,مسالي
karo,كرو
lmara,المرة
sayg,صاغي
ona,أنا
ntfk,نتفك
vidyo,فيديو
daylk,ديالك
bryt,بريت
ntb9o,نتوقعو
ksida,كسيدة
motore,موطور
Yaaa,يا
rbi,ربي
tssme7,تسامح
drtha,درتها
Haka,هاكا
kaderlo,قادرلو
ichhar,يشهر
konhar,كونهار
katloho,كاتلوهو
temk,تمك
limafhmîch,لي ما فهموش
ydkhlo,يدخلو
ndo,عندو
sahbi,صاحبي
RS7,رأس
L7a9i9a,الحقيقة
lmorra,المرة
ki,كيف
kaytrigl,كا يترگل
dri,دري
no3,نوع
din,دين
mo,ما
kaychof,كيشوف
lbnat,بنات
kaydsr,كيدسر
rba3t,ربعت
l3ahirat,لاهيرات
sadate,سادات
in3alkom,ينعلكم
Kayhsab,كا يحسب
lihom,ليهم
tam3in,تمنين
flflos,فلوس
Ila,إله
m39ol,معقول
okaybrini,كبرني
nmot,نموت
Bsah,بصاح
kina,كينا
mktbti,مكتبتي
w93,و قع
ms,مس
hmdlah,الحمد لله
bzrb,بسرعة
tjnbt,تجنبت
wka,وكادرب
fjnb,في جنب
me,مه
h99tih,هقيتيه
kyti,كيتي
na3sa,نعسة
kanhlm,كانحلم
Kathama9,كاتهماق
Rbi,ربي
yhfadhom,يحفظهم
char,شر
ykon,يكون
m3ahom,معاهم
yalah,يلاه
khditha,خديتها
hhh,هـ
weldo,ولدو
hasbinah,حسبناه
mat,مات
hdrtich,هدرتش
Giallo,جالو
aflam,أفلام
Wa3rine,واعرين
surtout,خصوصا
Dario,داريو
Argento,أرجينتو
rajl,الراجل
makhdawch,ما خذاوش
7a9o,حقه
Le7yt,واش
sa3ida,داك
beroja,الراجل
lahe,ما خذاوش
ysree,ليه
Tahyati,تحياتي
t5rbicha,تخرّبش
Mh,مه
MehDi,مهدي
lhdra,الهضرة
litaygoliya,اللي تيقولي
39li,تسعة وعشرين
w9,و تسعة
lyamat,الأيام
ghaber,غابر
7akimi,حكيمي
asir,أسير
t9awdi,تقودي
nhzo,نحزو
tilifon,تليفون
tl3olina,تلعولنا
lsa3a,ساعة
mhamd,الحمد
say9,الساعة
dk,دك
lbaas,لباس
htaraam'gha,حرآم'غا
dak,دك
malaeika,ملايكة
bntk,بنتك
mskinaa,مسكينة
Bravo,برافو
Choaaib,شوايب
Gamssi,گامسي
Men,من
a7san,أحسن
chuftom,شفتوم
fhad,فهد
social media,سوشل ميديا
Ta7yati,تحياتي
khawa,الخوا
Wald,ولد
kima,كيما
katfar7,كاتفرح
gadi,غادي
ifrahak,يفرحك
zwine,زوين
kamal,كامل
chouaib,شوايب
Oulaaaah,أولاً
bhali,بهالي
fima,فيما
n9ra,نقرا
shi,شي
kanhbss,كانحبس
Imad,إيماد
badel,بدل
l’far9a,الفرقة
maw9i3,موقع
ntilichqrgiw,نتليضرغي
yjib,يجيب
ykhaf,يخاف
elina,علينا
wta,و تا
3adna,عندنا
fes,فاس
hay,هاي
arba3in,وأربعين
how,حتا هو
khattar,خطر
Bnat,بنات
khashom,خاشوم
ya3tiw,يعطيو
tissa3,التسعة
lhad,لهاد
domin,دومين
mwatar,مطار
makay3afoch,ماكيعافوش
mécanique,ميكانيك
Madawich,مداويش
dz,دز
9ard,قرد
Chtayha,شتايحة
m9awda,مقودة
iwa,إوا
rh,رح
knt3jb,كنتعجب
wx,واخ
rtkhrj,رتكهرج
dok,دوك
rmokat,الرمكات
kifx,كيفاش
rdir,ردي
a3lem,أعلم
Rakom,إوا راكم
7amdin,حامدين
R,را
ah,هادشي
rojla,روجلا
kibayn,كيباين
fmarto,فمرتو
godam,قدام
mkhalta,مخالط
rojala,رجالة
laghani,لغاني
YoUu,يو
Nnsee,ننسي
7lawto,حلاوتو
tal,تل
yam,يوم
Ykhwilak,يخويلك
drase,دراسة
madloula,مدلولة
las9a,لأسقة
kay3taraf,كيعترف
mabaghi,ما بغى
ladir,لدار
harakat,حركات
morahi9ine,مروقيين
Benni,بني
Mellal,ملال
hakma,حكمت
Milano,ميلانو
Banti,بنتي
Zlaal,زلال
lfelm,الفلم
isahal,يسهل
3liik,عليك
lkhawa,لخوا
dyali,ديالي
Yash,يش
Ess,إيس
ablati,أبلاتي
l3ya9a,العياقة
wold,ولد
adil,أديل
lmloudi,الملودي
Azabi,أزابي
Red Boll,ريد بول
RedBull,ريدبول
hh,أزابي
labidyo,لا بيديو
zzwine,زوين
walkine,والكين
t9dre,تقدر
djkr,دكر
bmwdme,بمودمه
dake,داك
t5sswre,تصحسر
lhdra,الحدرا
wlad,ولد
9hab,قحاب
cha3b,شعب
azbi,أزبي
3ay9,عايق
baraka,باركا
tzomil,تزوميل
lkdoub,الكذب
ljahl,الجهل
tamtil,التمثيل
l9lawi,القلاوي
bsh,باش
tajriba,تجربة
katmshi,كاتمشيو
khela,خلة
kikon,يكون
dayz,دايز
menha,منها
atsawloh,اتساوله
sbhana,سبحان
hhhhhh,ه ههههه
9wawid,قواويد
konti,كنتي
radi,رادي
m7afra,محفرة
kharig,خارج
mdina,مدينة
cha3alha,شحالها
dacia,داسيا
dasya,داسيا
yrz9k,يرزقك
sa3ada,سعادة
khti,أختي
Wa,الله
naariii,يناري
kdab,الكداب
lyouma,اليوم
ghadirha,غاديرا
w7da,وحدة
Chala,شلا
fach,فاچ
natfarjo,نتفرج
omak,ومك
katfarj,كاتفرج
db,دبا
o3jabha,عجبتها
elhal,الحال
wasir,و سير
9akat,القاع
trabi,تربي
songs,أغاني
wa7d,وحدة
ynisk,ينسك
flakhor,فراحك
Kamel,كامل
broo,برو
m9awed,مأود
Kima,كيمة
Cho,شو
khtna,ختنا
ki,كي
kt3wj,كتعوج
trmtha,ترمتها
hhhhh,هههه
knsena,كنسنا
l3eyba,العيوبة
derti,درتي
Rotary,روطار
houa,هو
z3ma,زعمة
Ktban,كتابن
kilimini,كليمني
wjhQ,وجهو
g3ma,گعما
m3wnaQ,معونو
tcharmil,تشرمل
sat,سات
9daam,قدام
lvidyohat,لفيديوهات
disk,ديسك
yamato,ياماتو
kaytle3,كايطلع
Tstmeeeee,تستمي
chfto,شفتو
kay3rfni,كايعرفني
makan3rfch,ماكانعرفش
kbhal,كبحال
saybtiha,صايبتيها
Blige,بليج
DRI,دري
morba3,مرابع
lhaya,لحيا
ktaf,كتاف
morba3In,مرابعين
kharja,خرج
rblx,ربلكس
Ydal,يدل
kaml,كامل
ytnmar,يتنمر
lkhar,الخارج
khdaha,خدها
wjha,وجهو
m9am9am,مقمقم
Bghit,بغيْتْ
gha,غَا
n3rf,نْعْرَفْ
had,هَادْ
fin,فِينْ
kidi,كِيدِي
wach,وَاشْ
tacharok,تَشَارَكْ
l'walfa,لِ الْفَا
yak,يَاكْ
Hadik,هَادِيكْ
Ila,إِلا
konti,كُنْتِي
radi,رَادِي
fi,فِ
tri9,طَرِيقْ
m7afra,مْحَفْرَة
kharig,خَارِجْ
mdina,مْدِينَة
cha3alha,شْحَالْهَا
Wa,وَ
dacia,دَاسْيَا
mashi,مَا شِي
dasya,دَاسْيَا
Yassine,يَاسِينْ
Oubahssise,أُوبَاحْسِيسْ
vinicus,فِينِيكُسْ
nhar,نْهَارْ
ih9d,إِقْدَ
mbapee,مْبَابِي
Waaaa3ibad,وَا عِبَادْ
llah,اللّٰه
sad,عباد
9addoussak,الله
ta,نتا
si,سي
Steward,Steward
effectivement,effectivement
tu,tu
trouveras,trouveras
pas,pas
un,un
savant,savant
ouvrant,ouvrant
une,une
chaîne,chaîne
pour,pour
sois,sois
disant,disant
cause,cause
lutter,lutter
contre,contre
les,les
contenus,contenus
médiatiques,médiatiques
inappropriés,inappropriés
par,par
quoi,quoi
Par,Par
des,des
insultes,insultes
intimidations,intimidations
et,et
la,la
diffamation,diffamation
quelle,quelle
En,En
Voir,Voir
plus,plus
Ihna,إحنا
lhal,الحال
awdy,أودي
aba,أبا
yousef,يوسف
l3am,العام
jay,الجاي
aychark,أيشارك
jalo9,جالو
Imta,إمتا
rayl3bo,را يلعبو
akhouya,أخويا
jabtha,جابتها
li7titi,ليحتي
9alti,قلت
li3ta,لعيتا
ijiba,تجيب
s7i7a,ص7يحة
cadeau,كادو
bain,بين
Adak,أداك
is5arbi,إسخربي
lmsayl,لمسيل
manharr,منهار
makanhmlouch,ما كنهملوش
d3if,ضعيف
bazaff,بزاف
fhad,في
botola,البوطولة
Akfas,أكفاس
falbotola,في البوطولة
la3ala9a,لا علاقة
yal3ab,يلعب
odak,وداك
lidkhal,اللي دخل
blasto,بلاستو
iglas,إجلس
t3arfo,تعرف
falmgharib,في المغرب
Marat,مرة
dolm,ظلم
Dri,دري
lay3mr,ل يعمر
hadar,هدار
d5lo,دخلو
Lh,الله
aboni,أبوني
Kankoun,كانكون
f3eers,فقير
wkan3ya,وكانعيّا
b7ala,بحال
laa3b,لاعب
maatsh,ماتش
Lkhiir,كانكون
mglb,مغلب
lahoma,لاهما
barik,باريك
chique,شيك
khoya,أخويا
mabghich,مابغيش
nachri,نشري
sbitar,سبيطار
n,ن
Total,توتال
Abaghogh,بباس
Ah,آه
fhmna,فهمنا
lach,لاش
makynach,ماكاينش
bota,بوطة
3amra,حمرا
flhwant,فالحوانت
wayni,وايني
mosiba,مصيبة
ntom,نتوما
na3rfo,نعرفو
ihzo,يهزو
bachi,باقي
tajalo9t,تاجوقت
Hhhhhhh,هههههه
khouna,خونا
Dak,داك
haraka,حركة
noussair,نوسير
hed,هاد
mared,مراد
lbal,لبال
3bsi,عبس
lakhta,لختة
yosaf,يوسف
sl7o,صلحو
lkar,الكار
lfaracha,الفراشة
lichhar,لي شهر
kayban,كايبان
zwin,زوين
flakh,فلاخ
inayk,إنعك
ochkighd,وشكيد
ghyalkar,غيالكار
dh,ده
i3amr,إعمر
siraran,سيران
lfarach,الفراش
rkbna,ركبنا
lkiran,الكيران
dyalha,ديالها
mnaw3,منوع
lmomtaz,ممتاز
Ylh,صالحو
f7alatk,فحالتك
A7ssan,أحسن
anime,أنيمي
si7r,سحر
maji,ماجي
ma3andooch,ماعندوش
cha3biya,شعبية
3and,عند
l3raab,العراب
ma3raftch,معرفتش
3laach,علاش
shangari,شانغاري
frontier,فرونتير
wa,و
naaaadi,نادي
openings,أوبينينغ
nadyin,نادين
Siiiiir,سير
zyr,يزور
kbli,قبلي
Lafhmetche,لفهمتش
An,أن
3elache,علاش
Makherjoche,ماخرجوش
Est,استصى
ce,ص
vrai,vrai
ça,ça
Naaaari,نااااري
mafrassi,مافرّسي
Siiiiiiiir,سير
à,آ
lqlw,لقلب
diiir,ديير
9alwaa,القلوا
hyateeek,حياتك
nTa,نتا
wliiiiya,ولييييا
7aadiii,حادي
yyt7daa,يتحدّا
mait7daaach,مايتحدّاش
zb,زب
Kayna,كاين
interview,interview
kat3raf,كتعرف
khditiha,خديتيها
dfèl,دفّل
3lina,علينا
wjèhna,ف وجهنا
Khy,خي
sardli,سردلي
l9amiss,الخميس
Klamak,كلامك
ma39ol,معقول
madaym,مداوم
rir,رير
Lalo,لالو
salamanca,سلامانكا
chirir,شيرير
aktar,أكثر
mahboub,محبوب
rejal,رجال
sit,سيت
web,ويب
ntfrju,نتفرج
meaqom,معقوم
liki3ref,ليكيعرف
site,سيت
free,فري
Jalo9,جالو
mah,ق
za,ما
isen,إيسن
ben,بن
bâtoTa,باتوتا
kha,خا
kran,كران
slinader,سليناذر
pistoûn,بيستون
Tatinist,تاتينيست
irkan,إركان
igas,إيگاس
lmika,لميكا
l9as7a,القسعة
ATF,ATF
sawet,صوت
Ayoub,أيوب
Sskouri,سسكوري
abonner,الإبونمان
vues,عدد المشاهدات
aji,أجي
tkalam,تكلم
dafa3,دافع
wnta,ونتا
ctiti,عطيتي
Active,الوضع
zackester,زاكستر
saha,الصحة
bndm,بندم
zad,زاد
mkhali,مخالي
site,موقع
aflam,الأفلام
Khassk,خاصك
tfarj,تفرّج
polar,بولار
ba9i,باقي
amateur,هاوِي
chokran,شكرا
bzzaf,بزاف
rajl,رجل
hdar,هدر
hd,هاد
lbant,البنت
wlaw,ولا
