La première fois,البريمير فوا
gh,غير
chafra,شفرة
bghawha,بغاوها
barda,بردة
mkaybghiwch,مكيبغيو
ykhadmo,يخدمو
bdra3hom,بدراهم
layshal,لي سال
Mlak,ملاك
lhya,اللحية
Lhadaf,الهدف
hir,غير
it3arba,يتعلم
7it,حيت
chaf,شاف
taybghi,تايبغي
lkora,الكورة
ghaybghi,غيبغي
sa7aba,صحابو
T9dar,تقدر
der,دير
vedous,فيديو
kayhdar,كيهدر
onta,نتا
riyakti,ريَاكتي
bwjhk,بوجهك
moz3ij,مزعج
sawto,صوتو
akhue,خويا
wacl,واعل
kat3ejbnii,كتعجبني
fhado,فهادو
mhachmin,مشحمين
bina,بينا
tanger,طنجر
lhaja,لحاجة
mefhouma,مفهومة
w9a3,وقع
delmodon,دلمدون
bnefs,بنفس
mandar,مدار
flila,فلّيلة
wehda,وحدة
kayrowen,كيروين
baghyin,باغيين
yweslolo,يوصلو
ybiyeno,يبينو
beli,بلي
3andom,عندوم
l7a9,الحق
kat7es,كتحس
Kat7am9iii,كتحمّق
smiti,سميتي
jmi3a,جمعا
kg,كيلو
sqwat,سكوات
jihom,تايهجيهم
poids,صعيب
Sara7a,صراحة
mata9tch,ما تقش
ta9der,تقدر
tsalafni,تسلفني
mertek,مرتك؟
Nadi,نادي
ysh,يش
Yetsweeel,يتسول
omeek,أمك
ee,إي
weeld,ولد
l9hba,اللعبة
Naaaaari,نااااري
katchethi,كاتشي
maymkench,مايمكنش
hhhhhhh,هههه
تونا روز,تونا روز
Malkom,مالكوم
sam,السام
lahsad,الحساد
3a,عا
dobis,دوبيس
ya3dik,يعطيك
lakh,الله
bar,بار
kaymchiw,كايمشيو
teranat,ترانات
fabor,فابور
makla,مكلا
hakimi,حكيمي
ballon,بالون
d'or,دور
Hatim,حاتم
3mor,عمور
kwayri,كوايري
lmodahara,لموداهرة
influencer,influencer
tfa,تفّا
cnx,cnx
simana,سيمانا
mahbsat,محبسات
d3wa,دعوة
galk,گالك
moraha,مورها
3awd,عاود
awdi,أودي
wsselena,وصلنا
Mghribiyat,مغربيات
zwinin,زوينين
wakh,واخا
tgol,تقول
liglti,لي گلتو
khlihom,يخليهم
Htarm,حترم
Adan,آدان
haywan,الحيوان
Y3awdo,يعاودو
tarodage,تروداج
malo,مالو
l7ala,الحالة
Malk,مالك
al9lawi,القلاوي
khayfe,خايف
daawi,داوي
ghaa,غير
mane,من
da4kome,داككوم
khe4aj,خواج
b7alle,بسبعة
4ejalle,حالة
neta,نتا
ne3iwa,نعيو
la3bin,لاعبين
sa3adiya,سعاديا
lbhal,لبال
3tih,عطيه
yhwik,يهويك
hgada,هكاذا
tjih,تجيه
lkharja,لخارجة
lablasa,لبلاصة
Hadchi,هادشي
ma3ndnach,معندناش
sara7a,صراحة
tkhra,تخرب
lhas,الحس
lkapa,لكابا
rajal,رجل
Afkaaar,أفكار
lhreebaa,لحريبة
re3jnaa,رجعنا
chwi,شوية
katsra3,كاتسرع
videowat,فيديوهات
akhay,أخاي
kadahkna,كضحكنا
nadi,نَادي
Rihana,ريحانة
jumia,جمعية
lwjah,لوجه
7achmi,حشْمي
myksabohch,مايكسبوش
Rajl,رجل
Dima,ديما
kib9a,كيبقا
wkha,وخا
itho,ي تهو
kamlin,كاملين
layshl,ليشال
3lkikom,عليكم
yarb,يارب
iwf9kom,يووفقكم
Dousti,دوستي
A3AZ,أعز
wald,ولد
bladi,بلادي
agadir,أكادير
La3wiziya,لا عويزية
allh,الله
yetik,يعطيك
sha,شي
awda,عودة
ljalo9,للجالو ق
Ab3mrann,أب عمران
a9wasss,أقوسس
ou9r,أوكر
flak,فلاك
tiznit,تيزنيت
taltaa,الثلاثاء
tabdaaa,تبدا
t7awa,تحوا
madayrlkch,ماديرلكش
follow,follow
wdima,وديمة
tal3,طالع
dzab,ذاب
derii,دري
ysahel,يسهل
Hhhhh,هههه
l9a9,القاع
ax,أخ
kadir,كادير
tama,تما
Lbas,لباس
7wayjak,حوايجك
Zakaria,زكريا
Chioua,شيوا
7alak,حلاك
Lhama9,لحماق
3alah,علاش
ayg,أيگ
lpissri,لپيسري
Min,من
tagal3ih,تگالحه
maysalkak,مايسلكاك
l m9as,لمقاس
Bayna,باينة
maskhot,مسخوط
bah,باه
Sba33,سبعة وثلاثين
Admin,أدمان
dzzb,دزّب
mlk,ملك
disk,الديسك
Page,باج
lmatab,المطب
Ba9i,باقي
sril,سرّيل
hawa,هاوا
daliyad,دلياد
Ragoba,ركوبة
akhai,أخاي
as3ad,أسعد
owa,أوا
khlsi,خلصي
bayda9,بايدق
bdik,بديك
nokta,نقطة
skt,سكت
w3ta,وعتا
9ima,قيما
Tla3touna,طلعونا
karna,كارنا
arba3a,أربعة
me9toulin,مقطولين
Wiiii,ووييي
Daz,داز
album,آلبوم
blan,بلان
Hakda,هكدا
cristiano,كريستيانو
fach,فاخ
9aliw,قاليوا
fwahed,واحد
ma3mri,ما عمر
l3ab,لعب
Saudi Arabia,السعودية
flkher,الفخر
Fhadiii,فهاديي
khalitha,خليتها
BghiT,بغيت
dir,ندير
z3ma,زمة
mnęrf,منعرف
wchta,واشتا
Walid,وليد
5asna,خمسة
nx9awe,نخاو
we7da,وحدة
lbarça,لبرصا
benfica,بنيفيكا
bssa7,بساح
x,خ
le3bo,لعبو
biha,بيها
Batnod,باتنود
m9awed,مقاود
Saha,صحة
lglos,لغلوس
fdrb,في
lbalya,لباليا
dahk,داك
nachat,ناشات
ol3ibada,أولعبادة
Khsk,خاصك
achrif,تشرف
lhsnya,لحسنا
Agadir,أكادير
owalidin,ووالدين
tifla,طفلة
tlqhom,تلقاهم
ga3,كاملين
mkyntamiw,ماكينتاميو
alagadir,لأكادير
3layn,علاين
andaark,أندارك
ika,إكا
3azrayn,عزراين
kra,كرا
radiik,راديك
ifdo,إفدو
mardoukh,ماردوخ
na,نا
Ktarti,كثرتي
krak,كراك
3alam,عالم
tsta,تْستا
alqlawi,القلاوي
l7ayt,الحيط
B9a,بقا
tma,تما
Jo3,جوع
wno3,ونوع
bghrit,بغيت
nkhod,نْخود
nqass,ينقص
dh,درهم
9alwa,قلوة
tmak,تماك
kaychwah,كيشوا
bwlad,بولاد
khimesset,خيمسّت
Wh9rab,وهرب
lhrba,لهرّبة
Wasir,واسير
kmisat,كميسات
wala,ولا
mam9boulch,ما مقبولش
khona,الخونا
Walah,والله
mt,مت
zr9a,زرعة
4ir,ربعة
kykdb,ير كيكدب
xof,خوف
ftal,فتال
fidya,فيديا
tfhom,تفهمو
@super fans,@super fans
tagi,تاغي
haka,هاكا
Hh9ejyhfjf,ههقيهفجف
Rir,رِير
sam3,سَمَّعْ
akhoya,أخُويا
tanta,تَنْتَا
kat3rf,كَتْعْرِفْ
w9,وَنْتِيْجَة
snti7a,زَمِّل
bok,بُوكْ
3la,عَلَا
walo,وَالُو
rbit,رَبَّيْتْ
waldih,وَلْدِي
khlito,خَلَّيْتُو
ybda,يَبْدَا
ytlb,يَتْلَبْ
wyzawg,و يْزَوَّجْ
nasiha,نصيحة
bo3nazz,بوعناز
Waldna,والدنا
mcharafna,مشارفنا
ikhalilih,يخليليه
wlidato,وليداتو
odrari,ودراري
likano,لي كانو
khadamin,خدامين
3lihoum,عليهم
ni3ma,نعمة
rijal,رجال
Bghiti,بغيتي
lbrazilyin,لبرازيليين
Likhas,ليكاس
ktr,كثر
bzaaaf,بزاف
riyada,ريادة
fswira,فسويرا
mafihach,مافيهاش
lmost9bal,لمستقبل
tm7na,تمحنا
t7tmna,تختمناها
olah,أولاه
Zwin,زوين
orak,أوراك
khdam,خدام
3ajbna,عجبنا
klamek,كلامك
Afdal,أفضل
sani3,صانع
mohtawa,محتوى
nisba,بالنسبة
kat3awd,كتعاود
tlo7,تلوح
makal9awch,ما كلقاوش
page,page
dyalk,ديالك
letterboxd,letterboxd
Drbo,دربو
t9axr,تخور
a3yalat,أعيالات
lmo,لمو
t9axrha,تخورها
D3moh,دموه
mkyn,مكين
3a,على
Asmit,أسميت
hadkhouna,هادخونا
taychri,تايشري
lmatar,لمطار
3oud,وعود
lvidyouwat,لفيديوهات
oumatay,وماتخليكش
tmal,تمال
abonne,أبونيه
slamtk,سلامتك
bgina,بغينا
l5ir,الخير
7watkom,حواتكوم
jawhara,جوهرة
n9oss,نقوص
shpi,شبي
lkdope,الكدوب
Martina,مارتينا
hass,حس
bi,به
hadak,بهاداك
rakb,ركب
lawr,لوور
msskin,مسكين
ychd,يشد
bie,بيه
twila,طويلة
hhhh,هعه
tman,تمن
moto,moto
Ina,إينا
Omar,عمر
Amensague,أمينساغ
39alti,تسعة وثلاثون
mas,ماس
shouha,وشوه
w93at,وقع
fuh,فيه
yamat,يامات
ula,ولا
ma3ndkeesh,معندكش
lcart,لcart
ticket,ticket
maghdkhlesh,مغدخش
tiraan,تيران
Ay3awnrbi,أيعاونربي
alm3lm,المعلم
baghad,بغداد
Bayna,باين
chafar,شافر
khouya,أ خويا
sma liya,وسماح ليا
ighalbkom,يغلبكم
yarbi,يا ربي
Chef,شيف
bghina,بغينا
dur,دور
nsawbo,نسوبو
tomat,طماطم
Thlaw,ثلاو
assahbi,أصحابي
4tamaka,أربعة تمكا
han,هان
aritban,أريتبان
3layn,علينا
aymt,أيمت
kheditii,خديتي
l2deen,الدين
mlii,ملي
sewartiihoom,سورتيهوم
khask,خاسك
al3cha,العشا
sansoul,سانسول
amoulay,أمولاي
A9al,أقال
taman,تمن
ftanga,فتانغا
hama9tona,حمقونا
bhada9al,بهاد أقال
kolxi,كلشي
ohoma,وهوما
Ollah,أولاه
Mafik,مافيك
matched,ماتش
Dipanage,Dipanage
asat,أسات
m3deb,معذب
omma,أمّا
souira,سُويرة
tsayad,صّياد
blfusi,بْلُفُوسي
hitache,حيتش
lbher,لْبحر
mkhawad,مْخاود
bbzzff,بْزّاف
btejrib,بتْجْرِيب
Yahya,يحيى
dyalkk,ديالك
ssffha,الصفْحة
L3z,لغز
lighiws,لغيوس
ota7iyti,أوتاحييتي
lmsimir,لمسمير
Orak,أوراك
ichb3a,إشْبَعَا
modritch,مْدَرْتِيش
agourn,أغورن
Maxu,ماكسو
4ir,أربعة
Ain,عين
dyab,دياب
Hta,حتى
wad,ود
marzag,مرزاغ
mxa,مشا
lai,لای
motore,موتور
tema,تيما
Tabkah,طبخة
Fouad,فؤاد
jiti,جيتي
3ndna,عندنا
ltata,لتاتا
walakin,ولكن
bal,بال
chtiha,صطيحة
Mabrooook,مبروك
tsahl,تسهل
Af9ir,أفقير
ahila,أهيلا
isn,إسن
nfsl,نفصل
idarn,إدارن
atn,أتن
irigli,إريغلي
ih,إه
faghn,فاغن
Hdxi,هذي
xrtih,خرتيه
ml,من
zoldyk,زولدييك
Wllah,والله
bsa7,بساح
jit,جيت
Rabat,الرباط
3at9ouni,عاطوني
rjal,رجال
ta7iya,تحية
lihoum,ليهم
Wallah,والله
tkoun,وتكون
bonne,جيدة
structure,بنية
htta,حتى
n3awnook,نعاونوكم
art,الفن
la,الطريقة
manière,الطريقة
ighaleb,يغلب
lkher,الخير
char,الشر
Kif,كيف
3amti,عمتك
labass,لباس
ri,ري
kat9olbo,كتڨلبو
nasse,الناس
Ma3ndkom,معندكوم
mayadar,مايدار
Sava,سافا
3amti,عمتي
odak,أوداك
sa7b,صاحب
3amayn,عمّاين
ohowa,وهو
kaytsnak,كيتسناك
tkhraj,تخرج
Mbrik,مبروك
jbha,جبهة
jib,جيب
bl7sab,بالحصاب
3alam,علم
Dariri,داريري
ta3a,تعا
tarka,تركا
lay3aarh,ليعارح
Wee,وي
copenhagen,كوبنهاجن
goli,قولي
kyn,كاين
endi,عندي
khalit,خليت
solala,سولالة
7or,حور
tachri,تشري
Haaaallaw,هااالاو
yasa3odi,يا صاحبي
inta,أنت
rabiy,را بي
tat3rifo,تتعرفو
lmarariba,للمراريبا
jayidan,جيدان
lhjaouj,لحجاوج
vlogs,ڤلوجات
soufiane,سفيان
rav4,راڤ4
achmen,آشمن
model??,موديل؟
M9éwdin,مؤكدين
7'toun,حتّون
Cha9oor,شعور
ma9awad,مقاود
Kol,كل
hal,حال
3ndo,عدنو
baykar,بايكر
الحاج,الحاج
بغاض,بغاض
dark,دارك
yadli,يدلي
lhsab,الحساب
Mr7ba,مرحبا
gheda,غدا
nji,نجي
3ndk,عندك
difi,ديفي
nthadak,نتهادك
Largo,لارغو
kanadi,كانادي
tbarkaklah,تبارك الله
m3alam,معالم
isahal,اسهل
maskin,مسكين
3likom,عليكم
jami3an,جميعان
inchallah,إن شاء الله
3sabtini,عصبطيني
bdak,بدك
sat,ستة
asat,ستة
tkhna9t,تخناقت
Ewa,إوا
3almi,علمي
l8hom,ليهم
lfloosa,لفلوسا
Lhwla.wla,اللولا
9owta,قوة
billh,بالله
b9at,بقات
fiya,فيا
mrato,مراتو
ns,نس
39l,عمل
9smoh,قسموه
Sbeee3,سبيع
ghbert,غبرت
chweya,شوية
l9itek,لقيتك
7iyedti,حيدتي
mask,ماسك
mawadi3,مواضيع
mo9alwana,مقلوبة
mamchitich,ما مشيتيش
anwar,عوار
Rojola,روجولا
lkhwdri,لخدري
Achawa,آشوا
dert,درت
hahahahahahhaaah,ههههههههههااا
khritoni,خريتوني
bde7k,بضحك
imskhkoom,يمسخكوم
Tl3at,طلعت
nadiya,نادية
mafarj,مافرج
fa,فا
walking dead,walking dead
bayna,باين
John kozak,John kozak
Achmen,آشمن
khla3a,خلاعة
zabi,زابي
Lghazi,الغازي
lbi3,لبيع
Waa,واا
btneda,بتنادا
artchtat,ارتشتات
sl9aysa,السقايسة
awwww,اوووو
lakhra,لخرا
krahto,كرهتو
Daak,داك
9lawiii,قلاويي
msdoom,مسدوم
pat,بات
bloke,بلوكي
deja,ديجا
Hala,هالا
Madrid,مدريد
akha,اخوا
ba3la,باقلة
Ma3rft,ماعرفت
lmchmam,لمشمام
makay3rfch,ماكيعرفش
ihdr,يهدر
katl3o,كتلو
Halla,هالا
madrid,مدريد
aba3la,أبااقلة
3laaa,علا
slamaa,سلام
akhouyaa,أخويا
slama,سلام
simo,سيمو
3Laa,علا
SLamTak,سلامتك
KhOuYa,خويا
Laah,الله
IJ3Lha,يجعلها
MaGhFiiraT,مغفرة
DonoB,الذنوب
Oui,وي
homa,هوما
7a9i9a,حقيقة
t9awdt,تقودت
eliiik,ليك
picho,پيشو
kadir,كدير
pub,پوب
tani,تاني
knchof,كنشوف
rels,ريلس
awl,أول
W9,و
7aaaamdin,قحامدين
Cameraman,كاميرامان
job,جووب
A77,أحح
aghizlan,أغزلان
l9raya,القراية
zinaa,زينة
Chakour,شكور
l3ayba,العيبة
charjit,شرجات
lma3joun,لمعجون
Razzy,رازي
Izi,إزي
sbt,سبت
7,ح
shabo,شابو
atkon,اتكون
zahya,زاهية
Zwiin,زوين
fchkel,فشكل
ly3mrhaa,لي عمرها
daar,دار
lfl9a,الفلقة
brasi,براسي
fhmt,فهمت
4lat,أربعة لات
3aya9to,عياطو
ghdab,غداب
3atiyin,عاطين
9ima,قيمة
hadro,هضرو
chihaja,شي حاجة
fih,فيها
manfa3a,منفعة
dhaz,داز
makmoul,مكمول
kadou,كادو
atajalo9t,أتاجلّوت
restaurant,رستوران
cuisine,كوزين
ok,أوك
ykhroj,يخرج
yahdar,يهضر
les,ليز
clients,كليان
Fhamti,فهمتي
fahim,فاهم
wdak,ودك
likadiir,ليكدير
hsab,حساب
douk,دوك
naana,نانا
hadou,هادو
bghiti,بغيتي
lihm,عليهم
lvid,هاد الفيديو
5awartiha,خمسة وعشرين اوارتيها
ma3tawkx,معطاكش
lbido,لبيدو
rmitihom,رميتيهوم
fchari3,ف شاريع
ya3ni,يعني
mamrabich,ما ربيتش
finahoma,فين هوما
wdnik,ودنيك
b3alla,باعلة
la9ta,لاقطة
darhax,درهش
lbit,البيت
bit,بيت
akhor,أخر
m9ad,مقاد
Kch,كش
kch,كش
jm3,جمع
9lawik,قلاويك
7wakom,حواكوم
rapour,رابور
sabiri,صابري
baghi,بغي
treacti,ترياكتي
khdm,خدم
bohdk,بوحدك
ilaknto,إلا كنتو
DNAs,دي أن أ
tayktr,تايكتر
fikom,فيكوم
sda3,سدعة
fhmni,فهميني
Yasser,ياسر
Vox,فوكس
f7alatk,فحالك
Raja,رجاء
mktasnch,مكتسبش
likber,ليكبر
3erf,عرف
ktgol,كتگول
abhejawit,أبهجاويت
zabe,زابة
Broker,بروكير
rbhti,ربحتي
khserti,خسرتي
kidi,كيدي
comission,كوميسيون
r,ر
maa3roufa,ماعروفا
mwer9a,مروقة
Mhadrtich,ما هدرتش
amin,أمين
rivar,ريفار
zaiyd,زاييد
hiya,هي
jdddui,جدودي
kidirou,كيديرو
Oula,ولا
kan7el,كانحل
katla3li,كاتطلعلي
jdida,جديد
Hdro,هضرو
dkhlo,دخلو
odaro,دارو
ilfr9,الفروق
ojabo,وجابو
rbh,ربح
perché,پاشرلي
nella,نتا
knehder,كنهضر
gli,في
ultimi,السنوات
anni,الأخيرة
allegri,أليغري
aflad,أولاد
dlkhra,لخرا
lbad,البلاد
3dna,عندنا
Wah,واه
kia,كيا
bt,بت
h,ه
mry,مري
ny,يعطينا
jannat,جنة
raka,راك
hoga,هوجا
ham,الهم
sb,سبكو
ko,نصيب
kry,كيري
M3a,معا
balamo,بالامو
hasanat,حسنات
rahom,راهوم
yatlamo,يتلامو
lblasa,البلاصة
Ktret,كثرت
l3ya9a,العياطة
bdit,بديت
blah,بلاه
tkhrbi9,تكربّع
lfitna,الفِتنة
syid,السيد
mkyfhmch,ما كفهمش
chlha,شلحة
mghdich,ماغاديش
itfrd,تفرض
ifhmha,فهمها
bzez,بسرعة
kaynin,كاينين
nass,ناس
cheloh,شلوه
casa,كاسا
fmghrib,المغرب
kamlo,كاملو
aamrhum,أمرهم
3amlhum,عملهم
3onsorya,ظلم
khora,خورا
mghribi,مغربي
machi,ما
khaso,خاص
ikon,يكون
kaydwi,كيدوي
français,فرنسا
t9der,تقدر
heta,حتى
thder,تهدر
me3a,مع
shab,شاب
txiat,تكسيات
rani,راني
3yit,عيت
ngolik,نقولك
extraction,الاستخراج
almerdi,المردي
Nfs,نفس
3a9liya,العقلية
ndi,عندي
wa3ndk,وعندك
akhoYa,أخويا
L9itiha,لقيتها
wajda,واجدة
ahnini,أهنيني
A5i,أشي
5as,خمسة
a5oya,أخويا
b4ayt,بأربعة
anji,أنجي
anakol,ناكل
3andkom,عندكوم
Wawark,واورك
a3li,أعلي
machina,ماشي
yawldik,ولاديك
Mabin,ما بين
l3yen,العيون
uabejder,و أبهدر
akhi,أخي
Tbarklah,تبارك الله
Wakha,واخا
malabs,مالابس
baina,باينة
Ntoma,نتمى
salina,سالينا
m3akom,معاكم
mnimta,منيمتا
2vs50,اثنان وخمسون
m9owdiiin,مقوديين
Namra,نامرا
3afak,عفاك
Wana,وانا
it3omn,اتعمن
lou9tad,الوقتد
akouray,أكوراي
atikhsan,اتخسان
yarbi,ياربي
salama,سلامة
kay4sl,كايصل
ljanaba,لجانبا
l3abd,لعبد
otab3ino,وتابعينو
flhma9,فلهمة
maymknch,مايمكنش
mdhkch,مدكش
ychafik,يشافيك
kyhsblih,كيهسبلي
kydir,كيدير
hja,حاجة
m3mr,معمر
hd,حد
9dr,هاد
ydirha,يديرها
dkchi,دكشي
elax,إلا
ky3tbr,يعتبر
raso,راسه
btal,بطل
3omro,عمرو
fchal,فچال
bax,باخ
ydahkni,يدهكني
batal,بطل
dnya,دنيا
aham,أهم
nadafa,نضافة
blassa,بلاصة
Antoma,انتوما
Aslan,اصلا
ktkhdmo,كتشدو
am3a,امعا
driat,دريات
indrive,إندرايف
tolito,توليتو
kt3mlo,كتعملو
b7lhom,ب7لهم
dirin,درين
na9aba,نقابة
bintkom,بنتوكم
antoma,انتوما
b39lkom,بعقلكم
mi,مي
frchkom,فرشكوم
man3om,منعوم
3adad,عدد
b7al,ب7ال
msakan,مسكان
akhoya,اخويا
yastatna,يستتنا
w,و
yastar,يستار
bniyatna,بنياتنا
matab9ach,ماتبقاش
ti9,تيق
lwa9t,لوقت
khyabat,خيبات
ysahal,يسهل
Amal,أمال
koulchi,كلشي
druj,دروج
lagzare,الغزالة
ifrajha,افرجها
itle9,اتليع
sraho,سراحو
Salm,سلم
MeHdi,مهدي
3chir,عاشر
39lti,أقلتي
3liya,عليا
traksyon,تراكسيون
silon,سيلون
mtbanalik,متبانليك
kot,كوت
Naaaah,نااااه
kena,كينة
tangkap,تڭتاب
khasik,خاصك
dirha,درها
meiaya,معايا
jalok,جالوڭ
maeah,معايا
Gal,ڭال
9bl,قبل
alf,ألف
ans,سنة
/yamat/,/يامات/
3mro,عمرو
jmhor,جمهور
dchyra,دشيرا
lmkhiyer,لمخير
fihom,فيهم
m3ana,معنا
7nnnnna,حننا
nchoFo,نشوفو
baha,باها
achrifa,أشريفا
dru,دارو
drti,درتي
sawb,صووب
nmra,نمرا
mzyn,مزين
m9loba,مقلوبة
ymkn,يمكن
Achraf,أشرف
tbarklah,تبارك
meknes,مكناس
Kola,كولا
tl3a,طالع
kihdro,كيفدرو
blogha,بلغة
Yarbi,ياربي
tmoto,تموت
Kohya,كوهيا
lvidioat,الفيديوهات
dilk,ديالك
htal,حتال
zok,زوك
lilal,للال
neass,الناس
ntf9as,نتفاس
Wkisf9o,وكيسفو
Jamal,جمال
kidir,كيدير
oplet,أوپليت
Izd,ازد
lkhmis,الخميس
aut,اوت
3mira,ثلاثة ميرة
ayna,أينا
ahtguawrm,أهتغواورم
sha,شع
lhs,لحس
lgaba,لڭابا
t5yl,تخيل
tdrb,تدرّب
bsbab,بسبب
7toun,حتّون
hhhhhhhhhhhh,هههههههه
Koun,كون
gheer,غير
3tazel,اعتزل
9asm,قاسَم
lvideo,لڤيديو
wrina,ورينا
chlo7,شلوح
herbanin,هرّبانين
Kheya,خيا
aboor,أبور
myasar,ميسار
emardi,اماردي
walidik,والديك
ekadkhel,أكدخل
l9alb,لقلب
makan3rfkch,ماكنعرفكش
ma9bol,مقبول
lahlal,لاحلال
bayn,باين
izidak,يزيدك
tastahal,تستاهل
didikas,ديديكاس
lamdina,لمدينة
la9dima,القديمة
Marhba,مرحبا
3andna,عندنا
tanja,طنجة
baa,أ باا
5ouya,خويا
nsaba,نسابة
mknhmlhach,ماكنهملاش
hchoma,حشومة
pitcho,بيتشو
mabrax,مبرّخ
ijm3,إجمع
karo,كارو
Bsaha,بصحة
Raha,راحة
lkhawa,خوة
skhawa,سخاوة
Khaskom,خاصكوم
tjiw,تجيوا
l3andi,لعندي
l,لل
riyahin,الرياحين
taklo,تاكلو
lkhbiza,الخبيزة
lgalgola,الكالڭولة
bsah,بصاح
tchof,وتشوف
idman,إدمان
KhadeJa,خادجة
SF,SF
ti,تي
emta,امتا
kykon,يكون؟
Hamada,حمادة
Bn,بن
ybark,يبارك
Wld,ولد
7midti,حميدتي
waik,وايك
mchina,مشینا
labhr,لبر
Houssine,الحسين
Diwan,ديوان
9alab,قلب
khadma,خدامة
i7fdak,يحفظك
tnaf5tu,تنفست
wjhak,وجهك
vid,فيديو
niyti,نيتي
Kayna,كاينا
fir9a,فرقة
likhsar,ليكسار
ikhales,إخلاص
tlaa3bo,تلاعبو
dadna,دادنا
Lahoma,لاهمة
barik,بارك
klito,كليتو
Dakchi,داكشي
bnin,بنين
tbarkelah,تبارك الله
yan,يان
rab3a,رابعة
lbgri,لبغري
sstmanar,سستمنار
hamd,الحمد
mis,مس
baghi,باغي
n3rf,نعرف
hadok,هادوك
lax,لاخ
jaw,جاو
kijriw,كيجريو
l9dam,لقدام
lkamira,لكاميرا
Hhh,هعه
lafan,لافان
awda,أودا
zba9,زباغ
alhba9,الحباغ
batnod,باتنود
Hhhh,هعه
layhdikom,ليهديكوم
hanawa,هناوا
ly3mr,ليعمر
anga,أنڭا
khssk,خصك
hwya,هوا
rbaniaa,رباعية
L3az,لْعَاز
rap,راب
adbooo3,أدبو
Bla,بلا
hsad,حسد
dari,داري
migoal,ميڭال
liskhar,لسكار
3amin,أمين
hadra,هدرة
darto,درتو
gfir,غير
lhal9a,لحلقة
dabro,دابرو
Chamkara,شامكارا
siro,سيرو
khadmo,خدّمو
rassekom,راسكوم
khrajto,خرجتو
chabab,شباب
saloun,سالون
Sarah,سارة
l3id,لعيد
milad,ميلاد
aydawaz,أيدواز
akfas,أكفاس
fhyato,في حياتو
molat,مولات
B9at,بقات
mamah,ماماه
mskina,مسكينة
kifch,كيفاش
atb9a,أتبقا
Dar,دار
bsahtkom,بصحتكوم
ahsen,أحسن
dnas,دناس
mcharfen,مْشارفين
souira,سويرة
keba9i,كباقي
lhrgawa,لحرڭاوا
O,أو
wagaf,وقاف
túnel,تونيل
cat,كات
sawar,ساور
fhala,فهلا
tirk,تريك
di,دي
o,أو
tjib,تجب
B,ب
bssala,سلا
tbarhiche,تبارحيش
M3arad,مْعارض
lkhatar,للخطر
m3arad,مْعارض
saykine,سايكنين
Ache,آش
lkalakh,الكلاخ
b9it,بقيت
kntfrj,كنتفرج
lvidyo,الفيديو
sayg,سايغ
wna,ونا
njib,نجيب
rbha,ربحة
thrdt,تْحرّدت
modil,موديل
s1000rr,ألف ومية
bnsba,بنسبة
wax,واخ
ba9a,باقي
katkhraj,كاتخرج
jdida,جديدة
Tabrk,تبارك
med,ميد
twa7xna,تواخسنا
viddyowat,فيديوات
mirikani,ميريكاني
kaykhod,كايخود
lmatr,لماتر
sizi,سيزي
hayat,حياة
sa3ida,سعيدة
Mt07,إم تي صفر سبعة
l7yat,لحياة
hkak,هكاك
hchamtona,حشامتونا
jiran,جيران
baykar,بايكار
lahafdk,لاهافدك
Kolxi,كلشي
lhaz9a,لحزقة
Dissi,ديسي
drayf,درايف
konte,كنت
khedam,خدام
ja,جا
daryf,دريف
nase,ناس
t3amal,تعمال
braytch,برايتش
Half,نصف
tkhod,تْخود
kabare,كبار
biya,بيّا
3jabni,عجّبني
hale,حاله
paris,باريس
hmd,الحمد
lilah,لله
mohime,موهيمة
ishal,يشال
ayi,أي
Tbarklah,تبارك
3likum,عليكم
chabiba,شبيبة
7araa,حرة
reportage,ريپورتاج
qualité,كواليتي
Mamtafa9ch,ما متفقش
no9ta,نقطة
a7ssan,أحسن
achrar,أشرار
dragon ball,دراغون بول
bi,بالنسبة
ni,ليا
t7aat,تحط
black,بلاك
guko,ڭوكو
blast,بلاست
kid,كيد
bu,بو
prk,برك
falssafa,فالسافا
anaho,أنه
y9dii,يقدي
lbachariiya,البشرية
ma3andooch,ما عندوش
wa3y,وعي
yadamar,يدمر
7aja,حاجة
chafha,شافها
Mhm,مهم
